ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
lenovo-thinkpad-l14-gen-2-22,Lenovo ThinkPad L14 Gen 2,AMD Ryzen 5 5650U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-l14-gen-2-22/,https://laptopmedia.com/wp-content/uploads/2021/05/1-46-e1621404155939-300x222.jpg,115900
lenovo-flex-5-14-46,Lenovo Flex 5 14,AMD Ryzen 7 4700U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-flex-5-14-46/,https://laptopmedia.com/wp-content/uploads/2017/06/Lenovo-Flex-5-14-300x185.jpg,63000
lenovo-ideapad-l340-17-gaming-24,Lenovo IdeaPad L340 17 Gaming,Intel Core i7-9750H,16GB RAM,"NVIDIA GeForce GTX 1650 (Laptop, 50W)","17.3”, Full HD (1920 x 1080), IPS",1000GB HDD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-l340-17-gaming-24/,https://laptopmedia.com/wp-content/uploads/2019/05/02_ideapad_l340_17inch_gaming_hero_front_facing_left-300x201.jpg,169900
lenovo-thinkpad-x13-gen-2-5,Lenovo ThinkPad X13 Gen 2,Intel Core i5-1135G7,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"13.3”, WUXGA (1920 x 1200), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x13-gen-2-5/,https://laptopmedia.com/wp-content/uploads/2021/02/photo_2021-02-24_10-22-08-e1614155639638-300x222.jpg,82500
lenovo-thinkpad-p71-1091,Lenovo ThinkPad P71,Intel Xeon E3-1535M v6,8GB RAM,NVIDIA Quadro P3000 (6GB GDDR5),"17.3”, 4K UHD (3840 x 2160), IPS",1000GB HDD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p71-1091/,https://laptopmedia.com/wp-content/uploads/2017/06/Lenovo-ThinkPad-P71-300x164.jpg,324912
lenovo-thinkpad-t470s-1426,Lenovo ThinkPad T470s,Intel Core i5-6300U,12GB RAM,Intel HD Graphics 520,"14.0”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t470s-1426/,https://laptopmedia.com/wp-content/uploads/2017/06/T470s-300x146.jpg,109999
lenovo-thinkpad-p14s-gen-1-81,Lenovo ThinkPad P14s Gen 1,AMD Ryzen 7 PRO 4750U,40GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p14s-gen-1-81/,https://laptopmedia.com/wp-content/uploads/2021/05/71p4Evt0qdL._AC_SL1500_-300x202.jpg,99997
lenovo-ideapad-flex-5-14-270,Lenovo IdeaPad Flex 5 14,AMD Ryzen 5 4500U,16GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-flex-5-14-270/,https://laptopmedia.com/wp-content/uploads/2021/06/71NEDBoMYVL._AC_SL1500_-300x192.jpg,82900
lenovo-ideapad-s540-14-62,Lenovo IdeaPad S540 14,Intel Core i5-8265U,8GB RAM,Intel UHD Graphics 620,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-s540-14-62/,https://laptopmedia.com/wp-content/uploads/2019/03/1-1-e1581512517436-300x251.png,69900
lenovo-thinkpad-t490-33,Lenovo ThinkPad T490,Intel Core i7-8665U,16GB RAM,Intel UHD Graphics 620,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t490-33/,https://laptopmedia.com/wp-content/uploads/2019/05/Lenovo-ThinkPad-T490-1-300x225.jpg,427189
lenovo-ideapad-s340-15-1005,Lenovo IdeaPad S340 15,Intel Core i5-8265U,36GB RAM,Intel UHD Graphics 620,"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-s340-15-1005/,https://laptopmedia.com/wp-content/uploads/2019/03/Lenovo-ideapad-S340-15-1-300x248.jpg,150999
lenovo-thinkpad-e15-57,Lenovo ThinkPad E15,Intel Core i7-10510U,32GB RAM,Intel UHD Graphics,"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e15-57/,https://laptopmedia.com/wp-content/uploads/2020/04/71jImzykdIL._AC_SL1346_-e1586172469887-300x165.jpg,101999
lenovo-yoga-730-13-27,Lenovo Yoga 730 13,Intel Core i5-8265U,8GB RAM,Intel UHD Graphics 620,"13.3”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-yoga-730-13-27/,https://laptopmedia.com/wp-content/uploads/2018/04/lenovo-laptop-yoga-730-13-3-300x243.jpg,79995
lenovo-thinkpad-p53-988,Lenovo ThinkPad P53,Intel Core i9-9880H,16GB RAM,NVIDIA Quadro RTX 4000 Max-Q (8GB GDDR6),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p53-988/,https://laptopmedia.com/wp-content/uploads/2019/09/1-36-300x300.jpg,294099
lenovo-thinkpad-l13-30,Lenovo ThinkPad L13,Intel Core i5-10210U,8GB RAM,Intel UHD Graphics,"13.3”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-l13-30/,https://laptopmedia.com/wp-content/uploads/2019/11/1-6-300x225.png,59900
lenovo-thinkpad-t15-gen-1-25,Lenovo ThinkPad T15 Gen 1,Intel Core i7-10510U,16GB RAM,Intel UHD Graphics,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t15-gen-1-25/,https://laptopmedia.com/wp-content/uploads/2020/11/51QuHSZSGFL._AC_SL1000_-300x280.jpg,128269
lenovo-thinkpad-p53-1402,Lenovo ThinkPad P53,Intel Core i7-9750H,64GB RAM,NVIDIA Quadro T2000 (4GB GDDR5),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p53-1402/,https://laptopmedia.com/wp-content/uploads/2019/09/1-36-300x300.jpg,314999
lenovo-thinkpad-x1-carbon-5th-gen-350,Lenovo ThinkPad X1 Carbon 5th Gen,Intel Core i7-7600U,8GB RAM,Intel HD Graphics 620,"14.0”, WQHD (2560 x 1440), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-carbon-5th-gen-350/,https://laptopmedia.com/wp-content/uploads/2017/06/Lenovo-ThinkPad-X1-Carbon-5th-Gen-300x150.jpg,134999
