ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
lenovo-ideapad-flex-3-chromebook-15-5,Lenovo IdeaPad Flex 3 Chromebook 15,Intel Celeron N4500,4GB RAM,Intel UHD Graphics (Jasper Lake 16 EU),"15.6”, Full HD (1920 x 1080), IPS",64GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-flex-3-chromebook-15-5/,https://laptopmedia.com/wp-content/uploads/2022/03/1-4-300x203.jpg,34900
lenovo-legion-pro-5i-16-169,Lenovo Legion Pro 5i 16,Intel Core i9-13900HX,16GB RAM,"NVIDIA GeForce RTX 4070 (Laptop, 140W)","16.0"", WQXGA (2560 x 1600), 240 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-legion-pro-5i-16-169/,https://laptopmedia.com/wp-content/uploads/2023/03/Legion_Pro_5_16IRX8_CT1_02-e1678968928862-300x257.jpg,224900
lenovo-thinkpad-l15-gen-1-273,Lenovo ThinkPad L15 Gen 1,AMD Ryzen 5 PRO 4650U,64GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-l15-gen-1-273/,https://laptopmedia.com/wp-content/uploads/2023/08/71GprynAn5L._AC_SL1308_-300x283.jpg,236900
lenovo-ideapad-3-15-4750,Lenovo IdeaPad 3 15,Intel Core i3-1115G4,12GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), TN",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-15-4750/,https://laptopmedia.com/wp-content/uploads/2020/02/1-45-300x261.jpg,55900
lenovo-yoga-7i-16-213,Lenovo Yoga 7i 16,Intel Core i5-1335U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0″, WUXGA (1920 x 1200), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-16-213/,https://laptopmedia.com/wp-content/uploads/2023/05/71hUKCub0L._AC_SL1500_-300x241.jpg,66032
lenovo-ideapad-flex-5-16-210,Lenovo IdeaPad Flex 5 16,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0"", QHD+ (2560 x 1600), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-flex-5-16-210/,https://laptopmedia.com/wp-content/uploads/2022/07/1-20-e1658496127687-300x235.jpg,99900
lenovo-ideapad-1-15-539,Lenovo IdeaPad 1 15,AMD Athlon Silver 7120U,4GB RAM,AMD Radeon 610M,"15.6”, HD (1366 x 768), TN",128GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-15-539/,https://laptopmedia.com/wp-content/uploads/2023/03/1-30-e1679486278647-300x233.jpg,24999
lenovo-ideapad-flex-5-16-148,Lenovo IdeaPad Flex 5 16,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0"", QHD+ (2560 x 1600), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-flex-5-16-148/,https://laptopmedia.com/wp-content/uploads/2023/06/61g6-9NJn2L._AC_SL1500_-300x202.jpg,81900
lenovo-legion-pro-5i-16-10,Lenovo Legion Pro 5i 16,Intel Core i9-13900HX,32GB RAM,"NVIDIA GeForce RTX 4070 (Laptop, 140W)","16.0"", WQXGA (2560 x 1600), 240 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-legion-pro-5i-16-10/,https://laptopmedia.com/wp-content/uploads/2023/03/Legion_Pro_5_16IRX8_CT1_02-e1678968928862-300x257.jpg,239999
lenovo-thinkpad-e16-gen-1-119,Lenovo ThinkPad E16 Gen 1,Intel Core i5-1335U,24GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-119/,https://laptopmedia.com/wp-content/uploads/2023/06/1-49-e1687330108276-300x245.jpg,120900
lenovo-thinkpad-t14-gen-3-214,Lenovo ThinkPad T14 Gen 3,AMD Ryzen 5 PRO 6650U,16GB RAM,AMD Radeon 660M,"14.0"", FHD+ (1920 x 1200), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t14-gen-3-214/,https://laptopmedia.com/wp-content/uploads/2022/07/ThinkPad_T14_Gen_3_Intel_CT1_07-1-e1658411499389-300x222.jpg,82999
lenovo-thinkpad-l13-yoga-gen-2-19,Lenovo ThinkPad L13 Yoga Gen 2,Intel Core i5-1135G7,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"13.3”, Full HD (1920 x 1080), IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-l13-yoga-gen-2-19/,https://laptopmedia.com/wp-content/uploads/2021/07/1-15-e1626938576233-300x226.jpg,59900
lenovo-ideapad-flex-5-14-821,Lenovo IdeaPad Flex 5 14,AMD Ryzen 5 4500U,16GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-flex-5-14-821/,https://laptopmedia.com/wp-content/uploads/2022/09/71DiyqJPrmS._AC_SL1500_-300x192.jpg,79999
lenovo-ideapad-gaming-3-15-92,Lenovo IdeaPad Gaming 3 15,AMD Ryzen 5 5600H,8GB RAM,NVIDIA GeForce GTX 1650 (Laptop),"15.6”, Full HD (1920 x 1080), 120 Hz, IPS",256GB SSD,https://laptopmedia.com/laptop-specs/lenovo-ideapad-gaming-3-15-92/,https://laptopmedia.com/wp-content/uploads/2022/05/814r9mucKAL._AC_SL1500_-300x260.jpg,89900
