ID,Name,CPU,RAM,GPU,Display,Storage,Link,Image,Price
asus-vivobook-15-3086,ASUS VivoBook 15,Intel Core i5-1135G7,20GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-15-3086/,https://laptopmedia.com/wp-content/uploads/2023/07/41IjHZdedEL._AC_-300x194.jpg,89699
asus-vivobook-14-612,ASUS VivoBook 14,Intel Core i3-1115G4,8GB RAM,Intel UHD Graphics Xe G4 (48EU),"14.0”, HD (1366 x 768), TN",512GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-14-612/,https://laptopmedia.com/wp-content/uploads/2021/03/81wauWYXPL._AC_SL1500_-300x201.jpg,34900
asus-tuf-gaming-a15-605,ASUS TUF Gaming A15,AMD Ryzen 7 7735HS,16GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 140W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/asus-tuf-gaming-a15-605/,https://laptopmedia.com/wp-content/uploads/2023/03/1-43-300x210.jpg,145900
asus-zenbook-14x-165,ASUS Zenbook 14X,Intel Core i7-13700H,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.5″, 2.8K (2880 x 1800), 120 Hz, OLED",2000GB SSD,https://laptopmedia.com/laptop-specs/asus-zenbook-14x-165/,https://laptopmedia.com/wp-content/uploads/2023/08/1-2-e1690963593797-300x193.jpg,122900
asus-vivobook-17-3053,ASUS Vivobook 17,Intel Core i5-1035G1,16GB RAM,Intel UHD Graphics G1,"17.3”, HD+ (1600 x 900), TN",1000GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-17-3053/,https://laptopmedia.com/wp-content/uploads/2020/01/1-33-e1578392082185-300x191.jpg,79900
asus-creator-laptop-q-12,ASUS Creator Laptop Q,Intel Core i7-13620H,16GB RAM,NVIDIA GeForce RTX 3050 (Laptop),"15.6”, FHD (1920 x 1080), OLED",2000GB SSD,https://laptopmedia.com/laptop-specs/asus-creator-laptop-q-12/,https://laptopmedia.com/wp-content/uploads/2023/08/1-12-e1691507625285-300x159.jpg,127900
asus-vivobook-16-49,ASUS VivoBook 16,Intel Core i5-1235U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-16-49/,https://laptopmedia.com/wp-content/uploads/2023/02/1-17-e1676028069102-300x192.jpg,98900
asus-vivobook-16-36,ASUS VivoBook 16,Intel Core i5-1235U,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-16-36/,https://laptopmedia.com/wp-content/uploads/2023/02/1-17-e1676028069102-300x192.jpg,77900
asus-vivobook-16-69,ASUS VivoBook 16,Intel Core i5-1235U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-16-69/,https://laptopmedia.com/wp-content/uploads/2023/02/1-17-e1676028069102-300x192.jpg,64900
asus-vivobook-15-3089,ASUS VivoBook 15,Intel Core i5-1135G7,12GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-15-3089/,https://laptopmedia.com/wp-content/uploads/2023/07/41IjHZdedEL._AC_-300x194.jpg,78299
asus-tuf-gaming-a15-677,ASUS TUF Gaming A15,AMD Ryzen 7 7735HS,64GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 140W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,https://laptopmedia.com/laptop-specs/asus-tuf-gaming-a15-677/,https://laptopmedia.com/wp-content/uploads/2023/06/61WfixUwNfL._AC_SL1500_-300x199.jpg,153900
asus-tuf-dash-f15-1292,ASUS TUF Dash F15,Intel Core i7-12650H,64GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 75W)","15.6"", WQHD (2560 x 1440), 165 Hz, IPS",4000GB SSD,https://laptopmedia.com/laptop-specs/asus-tuf-dash-f15-1292/,https://laptopmedia.com/wp-content/uploads/2022/02/1-9.jpg,198900
asus-vivobook-s-15-130,ASUS VivoBook S 15,Intel Core i7-12700H,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, FHD (1920 x 1080), OLED",1000GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-s-15-130/,https://laptopmedia.com/wp-content/uploads/2022/08/1-1-e1659350617314-300x194.jpg,105900
asus-vivobook-s-15-125,ASUS VivoBook S 15,Intel Core i7-12700H,40GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, FHD (1920 x 1080), OLED",4000GB SSD,https://laptopmedia.com/laptop-specs/asus-vivobook-s-15-125/,https://laptopmedia.com/wp-content/uploads/2022/08/1-1-e1659350617314-300x194.jpg,124899
asus-rog-strix-g17-296,ASUS ROG Strix G17,AMD Ryzen 9 7945HX,64GB RAM,"NVIDIA GeForce RTX 4070 (Laptop, 140W)","17.3"", QHD (2560 x 1440), 240 Hz, IPS",4000GB SSD,https://laptopmedia.com/laptop-specs/asus-rog-strix-g17-296/,https://laptopmedia.com/wp-content/uploads/2023/02/1-32-e1676552537521-300x209.jpg,281900
